time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2025-02-14 09:30:00-05:00,SMACrossoverStrategy,c2a26724e2fa4349b1155ceb8b4ee907,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-02-14 09:30:00-05:00,SMACrossoverStrategy,c2a26724e2fa4349b1155ceb8b4ee907,AAPL,buy,market,fill,1,gtc,0.0,1,stock,241.25,323.0,0.0
2025-02-28 09:30:00-05:00,SMACrossoverStrategy,d15d99ebfaf646f08f971205141c065c,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-02-28 09:30:00-05:00,SMACrossoverStrategy,d15d99ebfaf646f08f971205141c065c,AAPL,sell,market,fill,1,gtc,0.0,1,stock,236.9499969482422,323.0,0.0
2025-03-11 09:30:00-04:00,SMACrossoverStrategy,c7e1b06f93a74f67a9e663f07aae2a6b,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-11 09:30:00-04:00,SMACrossoverStrategy,c7e1b06f93a74f67a9e663f07aae2a6b,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,164.91000366210938,463.0,0.0
2025-03-11 09:31:00-04:00,SMACrossoverStrategy,8175747dfcba454f8d73ff05c875ce8f,GOOGL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-03-11 09:31:00-04:00,SMACrossoverStrategy,8175747dfcba454f8d73ff05c875ce8f,GOOGL,sell,market,fill,1,gtc,0.0,1,stock,164.91000366210938,463.0,0.0
2025-03-21 09:30:00-04:00,SMACrossoverStrategy,c9128f2b3b5c4e24824c7f25d05b2876,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-21 09:30:00-04:00,SMACrossoverStrategy,c9128f2b3b5c4e24824c7f25d05b2876,MSFT,buy,market,fill,1,gtc,0.0,1,stock,383.2200012207031,198.0,0.0
2025-03-25 09:30:00-04:00,SMACrossoverStrategy,d56a1a0c3fa54c8abc0ea459963f4965,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-25 09:30:00-04:00,SMACrossoverStrategy,d56a1a0c3fa54c8abc0ea459963f4965,AAPL,buy,market,fill,1,gtc,0.0,1,stock,220.77000427246094,4.0,0.0
2025-03-31 09:30:00-04:00,SMACrossoverStrategy,4cac9b80f7174f87b22b5061b41c84f1,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-03-31 09:30:00-04:00,SMACrossoverStrategy,f6602d484b294c5ca383ce3122203830,MSFT,sell,market,new,1,gtc,0.0,1,stock,,,
2025-03-31 09:30:00-04:00,SMACrossoverStrategy,4cac9b80f7174f87b22b5061b41c84f1,AAPL,sell,market,fill,1,gtc,0.0,1,stock,217.00999450683594,4.0,0.0
2025-03-31 09:30:00-04:00,SMACrossoverStrategy,f6602d484b294c5ca383ce3122203830,MSFT,sell,market,fill,1,gtc,0.0,1,stock,372.5400085449219,198.0,0.0
2025-03-31 09:31:00-04:00,SMACrossoverStrategy,1e76b402ddcd44aea72de82abe750c83,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-31 09:31:00-04:00,SMACrossoverStrategy,42ae36400659447fb11d0f8442c48416,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-31 09:31:00-04:00,SMACrossoverStrategy,1e76b402ddcd44aea72de82abe750c83,AAPL,buy,market,fill,1,gtc,0.0,1,stock,217.00999450683594,336.0,0.0
2025-03-31 09:31:00-04:00,SMACrossoverStrategy,42ae36400659447fb11d0f8442c48416,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,153.11000061035156,483.0,0.0
2025-03-31 09:32:00-04:00,SMACrossoverStrategy,7034b02fe6b14f859f82f288af11c322,GOOGL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-03-31 09:32:00-04:00,SMACrossoverStrategy,7034b02fe6b14f859f82f288af11c322,GOOGL,sell,market,fill,1,gtc,0.0,1,stock,153.11000061035156,483.0,0.0
2025-04-04 09:30:00-04:00,SMACrossoverStrategy,35398973b698412b96d36329f4977a78,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-04-04 09:30:00-04:00,SMACrossoverStrategy,35398973b698412b96d36329f4977a78,AAPL,sell,market,fill,1,gtc,0.0,1,stock,193.88999938964844,336.0,0.0
2025-04-14 09:30:00-04:00,SMACrossoverStrategy,7c28643ca9224991974748119ccd883e,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2025-04-14 09:30:00-04:00,SMACrossoverStrategy,7c28643ca9224991974748119ccd883e,MSFT,buy,market,fill,1,gtc,0.0,1,stock,393.2200012207031,172.0,0.0
2025-04-17 09:30:00-04:00,SMACrossoverStrategy,563f3f1e48034390a66f6029f2639b7b,MSFT,sell,market,new,1,gtc,0.0,1,stock,,,
2025-04-17 09:30:00-04:00,SMACrossoverStrategy,563f3f1e48034390a66f6029f2639b7b,MSFT,sell,market,fill,1,gtc,0.0,1,stock,373.75,172.0,0.0
2025-04-17 09:31:00-04:00,SMACrossoverStrategy,bd4eb1461c994954bc3dbfc39bd6f75f,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
